bundle_path	operation	sha256	software_version	has_parameters	has_input_schema	has_grouping	input_schema_kind	grouping_fields
case_studies/stage7_usability_rehearsal/biologist_residence_bundle.zip	score_residence	ce7fd517c841d5f0cdf53727e52f7d55d11467ab2992f99955b7c010ce30b6ca	0.1.0	1	1	1	trajectory	cell_id,condition,replicate
case_studies/stage7_usability_rehearsal/quantitative_bounded_coupling_bundle.zip	decide_coupling	d9378f29069b44b691ea087a5fde468838b23083f7947d30fbeb386edfa4aa14	0.1.0	1	1	1	coupling	contrast
