case_id	retained_model	reduced_alternative	alternative_role	delta_bic_vs_routed	weighted_rmse_vs_routed	decision
cell_painting_mitotox_seal2023	compartment_route_5nn	endpoint_prevalence	primary_reduced_alternative	248.56	0.01028591	fails_relative_to_routed
cell_painting_mitotox_seal2023	compartment_route_5nn	morphology_magnitude_5nn	primary_reduced_alternative	331.517	0.01838672	fails_relative_to_routed
cell_painting_mitotox_seal2023	compartment_route_5nn	cells_block_5nn	single_compartment_reduced_alternative	2653.272	0.01573744	fails_relative_to_routed
cell_painting_mitotox_seal2023	compartment_route_5nn	nuclei_block_5nn	single_compartment_reduced_alternative	2690.417	0.02331213	fails_relative_to_routed
cell_painting_mitotox_seal2023	compartment_route_5nn	cytoplasm_block_5nn	single_compartment_reduced_alternative	2885.079	0.0202343	fails_relative_to_routed
