contrast,estimate,ci_low,ci_high,margin,rope_mass,n,se,p_tost,interval_inside_margin,passes,method,ligand
erk_minus_akt_residence_all,0.0050724638,-0.036987406,0.047132333,0.2,,180,0.025570585,1.2381207e-14,1,1,normal_approximation,all
erk_minus_akt_residence_His,-0.17608696,-0.24911018,-0.10306374,0.2,,60,0.044394966,0.29506656,0,0,normal_approximation,His
erk_minus_akt_residence_S1P,0.22173913,0.16057492,0.28290334,0.2,,60,0.037185199,0.72059765,0,0,normal_approximation,S1P
erk_minus_akt_residence_UK,-0.030434783,-0.087986983,0.027117418,0.2,,60,0.034989254,6.2921635e-07,1,1,normal_approximation,UK
