dataset,cell_id,ligand,concentration,replicate,n_points,time_start_min,time_end_min,total_time_min,erk_threshold,akt_threshold,erk_residence_fraction,akt_residence_fraction,erk_residence_time_min,akt_residence_time_min,erk_minus_akt_residence_fraction
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10083,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10084,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,1,0,80.5,-1
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10085,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10087,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10090,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10091,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10093,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10099,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0.086956522,0,7,0,0.086956522
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10100,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10104,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10111,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10114,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10115,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10118,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10120,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
erk_gpcr_ktr_wan2021,erk_akt_UK_20200630_P1_10122,UK,3.7,20200630 P1,24,2.5,83,80.5,0.7623,0.5892,0,0,0,0,0
