rank,model,n_endpoint_rows,weighted_n,rss,weighted_rmse,aic,bic,delta_bic,parameter_count,mean_predicted_probability_on_active_endpoints
1,compartment_route_5nn,5922,9,3.4044359,0.61503711,-44180.116,-44160.057,0,3,0.22116129
2,endpoint_prevalence,5922,9,3.5192599,0.62532302,-43971.675,-43911.497,248.55993,9,0.15696372
3,morphology_magnitude_5nn,5922,9,3.6110317,0.63342383,-43835.226,-43828.54,331.51745,1,0.19329032
4,cells_block_5nn,5922,9,3.5808888,0.63077455,-43338.867,-41506.785,2653.2717,274,0.18296774
5,nuclei_block_5nn,5922,9,3.6674078,0.63834924,-43221.485,-41469.64,2690.4166,262,0.15974194
6,cytoplasm_block_5nn,5922,9,3.6321279,0.63527141,-43220.729,-41274.978,2885.0785,291,0.18296774
