dataset_id,system_class,source_citation,access_route,trajectory_rows,summary_rows,cell_count,condition_count,amplitude_and_residence_top_quartile,amplitude_only_top_quartile,residence_only_top_quartile,neither_top_quartile,amplitude_residence_disagreement_count,case_report,provenance,what_rhodyn_adds
drg_calcium_vonbuchholtz2025,excitable-neuron calcium dynamics,"von Buchholtz 2025, Zenodo DOI 10.5281/zenodo.14907827",https://zenodo.org/records/14907827,72000,360,120,3,74,16,16,254,32,case_studies/stage7_public_signaling/drg_calcium_case_report.md,case_studies/stage7_public_signaling/drg_calcium_provenance.json,residence identifies sustained high-calcium occupancy not captured by peak amplitude alone
erk_gpcr_wan2021,GPCR-driven ERK kinase dynamics,"Wan et al. 2021, Zenodo DOI 10.5281/zenodo.5836623",https://zenodo.org/records/5836623,4320,180,180,6,34,11,11,124,22,case_studies/stage7_public_signaling/erk_gpcr_case_report.md,case_studies/stage7_public_signaling/erk_gpcr_provenance.json,residence identifies high-ERK occupancy not captured by peak ERK KTR alone
