dataset_id,signal_name,time_unit,signal_unit,condition,cell_id,time,signal,replicate,ligand,concentration,inhibitor,experiment,date,slide,position,source_object
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,76,0.3642,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,79.5,0.3643,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_0.41,erk_ktr_UK_20200630_P1_100,83,0.3648,20200630 P1,UK,0.41,DMSO,20200630 P1,20200630,P1,s1,100
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,2.5,0.4613,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,6,0.462,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,9.5,0.4581,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,13,0.4496,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,16.5,0.4538,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,20,0.4589,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,23.5,0.4617,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,27,0.4674,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,30.5,0.467,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,34,0.4538,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,37.5,0.4512,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,41,0.4587,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,44.5,0.4703,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,48,0.473,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,51.5,0.457,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,55,0.4598,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,58.5,0.4716,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,62,0.487,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,65.5,0.4893,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,69,0.4704,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,72.5,0.4671,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,76,0.4817,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,79.5,0.4889,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10005,83,0.4965,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10005
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,2.5,0.4694,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,6,0.4684,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,9.5,0.4751,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,13,0.4785,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,16.5,0.4821,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,20,0.4909,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,23.5,0.4875,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,27,0.4961,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,30.5,0.5227,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,34,0.5396,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,37.5,0.5485,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,41,0.5639,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,44.5,0.5558,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,48,0.547,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,51.5,0.5349,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,55,0.5106,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,58.5,0.4842,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,62,0.4836,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,65.5,0.4872,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,69,0.4775,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,72.5,0.4811,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,76,0.4755,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,79.5,0.4928,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10006,83,0.5017,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10006
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,2.5,0.6589,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,6,0.683,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,9.5,0.6424,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,13,0.6198,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,16.5,0.6499,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,20,0.6767,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
erk_gpcr_wan2021,CN_ERK_KTR,minutes,cytoplasm_to_nucleus_ratio,erk_ktr_UK_DMSO_3.7,erk_ktr_UK_20200630_P1_10007,23.5,0.7011,20200630 P1,UK,3.7,DMSO,20200630 P1,20200630,P1,s3,10007
